Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
57249292,Burn: The Misunderstood Science of Metabolism,Herman Pontzer,"Pontzer, Herman",,,,4,4.14,Penguin,Kindle Edition,374,2021,2021,01/11/2024,08/10/2024,non-fiction,non-fiction (#192),read,"This book is about newly emerging insights into human metabolism, and particularly the idea of 'constrained daily energy expenditure'. The take-home message is that the human body has evolved to expend roughly the same number of calories per day pretty much regardless of the level of physical activity (contrary to the old view that more activity resulted in more calories being burned). This has some important implications, for instance, it explains why exercise is ineffective for losing weight (dieting is better as it controls the energy INPUT). It also reframes the situation as one of trade-offs:  if a body has a constant rate of energy expenditure, then introducing more physical activity means it has to expend less energy on other things. For instance, exercise reduces the inflammation response because the body has to divert its energy resources to muscles and other functions, reducing energy spent on unnecessary immune system activity. <br/><br/>Pontzer's writing is engaging and he regales the reader with stories of his time living among the Hadza hunter-gatherer tribe. The book also provides a crash course in evolution, paleoanthropology, diet science, and even dips into climate change at the end. ",,,1,0,,,,,,,
61401116,The Satsuma Complex,Bob Mortimer,"Mortimer, Bob",,1398521213,9781398521216,3,3.68,Gallery,Kindle Edition,301,2022,2022,19/10/2024,06/10/2024,fiction,fiction (#254),read,,,,1,0,,,,,,,
31681718,Conquerors: How Portugal Forged the First Global Empire,Roger Crowley,"Crowley, Roger",,0571290906,9780571290901,4,4.27,Faber & Faber,Paperback,412,2016,2015,03/10/2024,23/09/2024,"non-fiction, history","non-fiction (#190), history (#38)",read,"I really enjoyed the first half of this book - descriptions of the voyages of Bartolomeu Dias in finding a navigable route to the African Cape, and Vasco da Gama in reaching India's Malabar coast. The book gives good background on the justifications for wanting to reach India (i.e. to trade, spread Christianity, and seek out Prester John in Ethiopia), and it was interesting how the various voyages built upon each other, with Portuguese navigators getting further with each one. I found the second half of the book more slow going, with the various escapades of Almeida and Albuquerque, describing battle after battle in too much detail. That said, Crowley does give a good picture of the personalities of the major players at the time. It also would have been good to have more from the perspective of the African, Indian, Arabian, and Indonesian peoples who were forced to suffer the onslaught of Portuguese imperialism.",,,1,0,,,,,,,
832852,The Motorcycle Diaries,Ernesto Che Guevara,"Guevara, Ernesto Che",,0007172338,9780007172337,3,3.79,Harper Perennial,Paperback,166,2004,1992,01/10/2024,18/09/2024,non-fiction,non-fiction (#191),read,"A retelling of the months-long trek across South America by Che Guevara and his friend Alberto Granado in the early 1950s. This has snippets of interesting insights and poetic prose, but is mainly filled with the bravado, privations, and close shaves of the young men's journey from Argentina to Venezuela. 'Motorcycle diaries' is a bit of a misnomer as their bike conks out fairly early on!",,,1,0,,,,,,,
52387141,The Underground Railroad,Colson Whitehead,"Whitehead, Colson",,708898408,9.78071E+12,3,4.06,Fleet,Paperback,366,2017,2016,17/09/2024,02/09/2024,fiction,fiction (#253),read,"Cora is a slave who escapes from her plantation in Georgia and is pursued across America by a slave catcher called Ridgeway. <br/><br/>Ostensibly this was a good story - a classic protagonist vs antagonist tale - but it wasn't an enjoyable read at all. Whitehead seems to make it difficult for the reader to keep track, and I was so glad when I found a summary on Sparknotes. The writing had a sort of detached, mythical nature, new chapters would begin without any explanation or context, lots of new characters seemed to be introduced at once, and I didn't understand a number of the references/specific vocabulary used. I also agree with other reviews which say that it lacked emotional punch (despite some of the horrific scenes described and alluded to). ",,,1,0,,,,,,,
38213085,Mythos: The Greek Myths Retold,Stephen Fry,"Fry, Stephen",,1405934131,9.78141E+12,3,4.26,Penguin Books,Paperback,459,2018,2017,16/09/2024,30/08/2024,non-fiction,non-fiction (#189),read,"References to Greek mythology are always popping up, so I thought this would be a good introduction. Stephen Fry's erudition, wit, and humour certainly enhance this text, but still found it a bit of a slog. <br/><br/>The book is punctuated by lots of short stories retelling the various Greek myths, but there were so many names and references that it got a bit overwhelming at times. Example: ""Amongst the many daughters of the Oceanid Doris and the sea god Nereus, was one Nereid called Galatea. ...she was adored by Polyphemus, a Cyclops. ...Polyphemus was the savage and ugly offspring of Poseidon and the Oceanid Thoosa.""<br/><br/>I did get a better idea of the origin story though, i.e. how it started with the first order, Gaia and Ouranos, followed by Kronos and his children, then the Titanomachy, Zeus and Olympus, etc. ",,,1,0,,,,,,,
61403399,The Odyssey,Lara Williams,"Williams, Lara",,024199165X,9.78024E+12,4,3.09,Penguin,Paperback,208,2023,2022,30/08/2024,24/08/2024,fiction,fiction (#252),read,"Ingrid fritters away her days as an employee on a super cruiseliner, cycling from one job rotation to the next. The story is about the gradual uncovering of her past trauma (explaining her increasingly debauched behaviour whenever she gets Land Leave) as well as her relationship with the ship's captain Keith as she wins a place on his esoteric self-development 'programme'. Keith is a cult-like figure, obsessed with the Japanese philosophy of wabi sabi, and demands bizarre sacrifices from Ingrid as well as the rest of his staff. <br/><br/>The Odyssey definitely has similarities with the writing of Ottessa Moshfegh (debauchery, dysfunction, a female protagonist with a 'messy' life). The description of life on the ship was also quite Orwellian or Kafkaesque, and I think the book makes a statement about the vapidness and anomie-inducing nature of modern work culture (fitting in nicely with the wabi sabi ideas of ""transience and decay""). <br/><br/>I'm not sure if I understood the ending (or Ingrid's relationship with Keith for that matter), but this isn't the kind of book you read for a typical linear narrative.",,,1,0,,,,,,,
45989570,The Nordic Theory of Everything: In Search of a Better Life,Anu  Partanen,"Partanen, Anu",,,,3,3.86,Duckworth,Paperback,419,2018,2016,29/08/2024,16/08/2024,non-fiction,non-fiction (#188),read,"Finnish-born journalist Anu Partanen compares the lives of Finns and Americans across the areas of education, health, work, social security, and business. The idea underpinning the book is the ‘Nordic theory of love’. Contrary to misplaced notions that Nordic countries are socialist, this is a philosophy in which individuals are supported by the state so as not to be dependent on it or the other people around them; in other words, these countries bake in liberty from the moment their citizens are born by allowing their parents time off and equipping them with free education and healthcare. <br/><br/>The problem with comparing the USA to anywhere else is that it is an outlier to begin with. So of course the book tends to take the format of “look how bad life is in the USA… but look how much better it is in Scandinavia” (though Partanen does acknowledge that Nordic countries are far from perfect, and that the American outlook can have its advantages). <br/><br/>I was most interested in the section on education, for instance: how Finland reformed its education in the 1970s in anticipation of a knowledge economy; how it takes a supply- rather than demand-side approach to education (it’s a basic human right, not a good driven by demand); and how Finnish teachers are so well respected because of the sheer amount of training they have to undertake (700 hours of classroom practice during a master’s program). There were also interesting references to Beatrice Webb and the role of her idea of a “national minimum of civilised life” in founding Britain’s welfare state. <br/><br/>Altogether though, the book probably should have been cut by at least a third as it’s rather repetitive. There was also too much focus on America – this was necessary due to the comparison, but I felt like I finished the book wanting more insight into Nordic society and culture, not the societal ills of the USA (with which I’m already sadly well-acquainted). ",,,1,0,,,,,,,
9529,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafon,"Zafón, Carlos Ruiz",Lucia Graves,,,3,4.3,Phoenix Press,Paperback,520,2005,2001,16/08/2024,31/07/2024,fiction,fiction (#251),read,"This is the story of Daniel Sempere, a boy in mid-20th century Barcelona who unravels the life of the mysterious writer Julian Carax. I certainly didn't love this book but the gradual unveiling of the central mystery kept me interested enough to finish it. For me, the story was very complex and had so many different characters - if I put it down for a day or two I had to retrace my steps to remember what on earth was going on. The book is translated, but even so, the prose felt quite flat and I wasn't a fan of the dreamlike, pseudo-profound storytelling style. ",,,1,0,,,,,,,
6328162,On Photography,Susan Sontag,"Sontag, Susan",,141035781,9.78E+12,3,3.89,Penguin Books,Paperback,207,2010,1973,15/08/2024,05/07/2024,non-fiction,non-fiction (#185),read,"<i>On Photography</i> offers some interesting nuggets of insight into the meaning and practice of photography... IF you are prepared to wade through the over-written and abstruse writing style. <br/><br/>Some points I took away: photographs are as much an interpretation of the world as paintings are, and exciting photos say something in a new manner; photography is an act of non-intervention - the photographer is a ‘supertourist’ or anthropologist who does not intervene in people’s lives but briefly visits them; how the advent of photography liberated painters from accurately describing reality, allowing them to focus on abstraction; photography is not a form of art all, but a medium through which art can be produced; the historical tendency towards black and white photography is because it was seen as more decorous than colour, or less sentimental and crudely lifelike (Cartier-Bresson renounced colour in his work). ",,,1,0,,,,,,,
